Organization,Description,Year
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,2019
AboutCode.org,Find the origin and license of code,2019
AerospaceResearch.net,making space together,2019
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",2019
Amahi,Making Home Networking and Storage Simple,2019
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,2019
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,2019
Apertium,A free/open-source machine translation platform,2019
apertus° Association,open technology for professional film production,2019
API Client Tools at Google,Industry-leading user experiences for networked APIs.,2019
appleseedhq,A modern open source rendering engine for animation and visual effects,2019
Ardupilot.org,The worlds most advanced open source autopilot,2019
Bazel,"Build and test software of any size, quickly and reliably",2019
BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,2019
Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development",2019
"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine",2019
Blender Foundation,"Free and open source 3D creation for everyone, forever.",2019
Boost C++,Boost provides free peer-reviewed portable C++ source libraries,2019
BRL-CAD,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!",2019
Buildroot,Making Embedded Linux easy,2019
Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,2019
Catrobat,Computational Thinking for All with Free Visual Coding Apps,2019
cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,2019
CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,2019
CCExtractor Development,"Tools to make the world more accessible, starting with media",2019
Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,2019
CERN-HSF,Umbrella organization for Particle (High-Energy) Physics-related projects,2019
CGAL project,C++ library of computational geometry and geometry processing,2019
CHAOSS,Aimed at improving our understanding of open source health and sustainability,2019
Chapel,a Productive Parallel Programming Language,2019
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",2019
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,2019
CiviCRM,Growing and sustaining relationships,2019
"CLiPS, University of Antwerp",Computational Psycholinguistics,2019
Cloud Native Computing Foundation (CNCF),Sustaining and Integrating Cloud Native Open Source Technologies,2019
CloudCV,Building platforms for reproducible AI research,2019
coala,Linting and Fixing Code for All Languages,2019
Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization",2019
coreboot,open source firmware projects,2019
Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.",2019
CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),2019
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,2019
D Programming Language,"Fast code, fast.",2019
DBpedia,Global and Unified Access to Knowledge.,2019
Debian,The Universal Operating System,2019
Developers Italia,An open community of digital public services developers,2019
Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,2019
Django Software Foundation,The web framework for perfectionists with deadlines.,2019
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing",2019
Earth Science Information Partners,Supporting community development of visionary Earth science data technology.,2019
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",2019
FFmpeg,"A complete, cross-platform solution to record, convert and stream multimedia.",2019
FOSDEM,The organization that handles all aspects of the FOSDEM conference,2019
FOSSASIA,Improving People's live with Open Tech,2019
FOSSology Project,FOSSology is an open source license compliance software system and toolkit.,2019
FrameNet Brasil at the Federal University of Juiz de Fora,Natural Language Understanding with structured computational semantics,2019
Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,2019
FreeBSD,FreeBSD: The Foundation of the Internet,2019
FreeType,FreeType font rendering library,2019
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,2019
"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,2019
GENIVI Alliance,Developing open software for IVI and the connected car.,2019
Gentoo Foundation,"A flexible, source-based Linux distribution.",2019
Git,"fast, scalable, distributed revision control system",2019
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health,2019
GNOME,The elegant and ethical desktop experience,2019
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,2019
GNU Compiler Collection,A set of compilers produced by the GNU project,2019
GNU Mailman,the GNU Mailing List Manager,2019
GNU Octave,Free Your Numbers,2019
GNU Radio,GNU Radio: The free & open software radio ecosystem.,2019
Godot Engine,Multi-platform fully-featured 2D and 3D game engine,2019
gprMax,Simulating electromagnetic wave propagation for Ground Penetrating Radar,2019
Haiku,Integrated operating system for personal computers,2019
Haskell.Org,"Standardized, statically typed, lazy functional programming language",2019
Hydra Ecosystem,Automate REST APIs. Next generation API clients.,2019
INCF,Advancing global collaborative brain research,2019
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OS X & Linux.",2019
Institut für Angewandte Informatik (InfAI) e.V.,Putting scientific research into practice.,2019
Intel Media And Audio For Linux,Intel Media And Audio For Linux,2019
InterMine,"Integrating biological data sources, making it easy to query and analyse data",2019
Internet Archive,Universal Access to All Knowledge,2019
Internet Systems Consortium,We support the infrastructure of the Internet with Open Source,2019
JabRef,The open-source reference manager,2019
JBoss Community,Community of Java projects around JBoss Middleware,2019
JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision,2019
Jenkins project,Open-source automation server for building great things at any scale,2019
Joomla,"Joomla, the flexible platform empowering website creators.",2019
JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots,2019
Kapitan,Generic templated configuration management for kubernetes and more,2019
KDE Community,Experience Freedom!,2019
Kiwix,Internet content for people without internet access,2019
KNIME,Open for Innovation,2019
Kodi Foundation,The ultimate entertainment center,2019
LabLua,Programming Languages Research with emphasis on the Lua language,2019
Libre Space Foundation,Open-source software and hardware technologies for space,2019
LibreHealth,Healthcare for Humanity,2019
LibreOffice,LibreOffice is a free and open source office suite.,2019
Libvirt,virtualization abstraction library,2019
Linkerd,Ultralight service mesh for Kubernetes and beyond,2019
Liquid Galaxy project,Liquid Galaxy delivers panoramic views across multiple displays and computers,2019
LLVM Compiler Infrastructure,LLVM Compiler Infrastructure,2019
LuaRocks,The Lua package manager and ecosystem,2019
MacPorts,Package manager for macOS,2019
MariaDB Foundation,One of the most popular databases on the web with many notable users,2019
Matrix.org,"An open network for secure, decentralised communication",2019
MBDyn - Multibody Dynamics,Scientific mechanical simulation tool for engineering research and development,2019
MetaBrainz Foundation Inc,MetaBrainz curates and makes available metadata about music and books.,2019
MIT App Inventor,Anyone Can Build Apps That Impact the World,2019
mlpack,"fast, flexible C++ machine learning library",2019
Moira,Moira is a realtime alerting system based on Graphite data,2019
Moodle,Empowering educators to improve our world,2019
Mozilla,"The internet for people, not for profit.",2019
MuseScore,MuseScore is music notation software used by millions of musicians worldwide,2019
Named Data Networking Project,A Content-Centric Future Internet architecture,2019
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,2019
Neovim,Vim-fork focused on extensibility and usability,2019
Netfilter project,"Firewalling, NAT and packet mangling for Linux",2019
NumFOCUS,"Promoting open practices in research, data, and scientific computing.",2019
NV Access,Empowering lives through non-visual access to technology,2019
Open Astronomy,Opening the eyes of research astronomy software to the whole world.,2019
Open Bioinformatics Foundation,Promoting practice & philosophy of OSS & Open Science in biological research.,2019
Open Chemistry,Advancing Open Source and Open Science for Chemistry,2019
Open Data Kit,Open Data Kit is used to collect data for social good in difficult environments.,2019
Open Roberta,Open Roberta® Lab is an online IDE introducing kids to program robots with NEPO®,2019
Open Source Robotics Foundation,"Open source software for use in robotics research, education and industry",2019
Open Technologies Aliance - GFOSS,Promote Openness through use and development of Open Standards and Open Source,2019
OpenCV,Open Source Computer Vision and Deep Learning Library,2019
OpenMRS,Write code. Save lives.,2019
OpenStreetMap,Creating and distributing free geographic data for the world.,2019
OpenWISP,A Hackable Network Management System for the 21st Century,2019
Oppia Foundation,"Collaborative tools for creating free, effective and enjoyable online lessons",2019
OSGeo,The Open Source Geospatial Foundation,2019
OWASP Foundation,"OWASP, The Open Web Application Security Project.",2019
PEcAn Project,"Ecosystem science, policy, and management informed by the best  data and models",2019
Percona,Unbiased open source database experts.,2019
Performance Co-Pilot,Performance Co-Pilot - system-level performance analysis toolkit,2019
Pharo Consortium,The immersive programming experience,2019
phpMyAdmin,A web interface for MySQL written in PHP,2019
Pitivi,Allowing everyone on the planet to express themselves through filmmaking,2019
PostgreSQL,The World's Most Advanced Open Source Database,2019
Project PANOPTES,Discover New Worlds,2019
Public Lab,Open hardware and software to help communities measure and analyze pollution,2019
Purr Data,Visual Programming Language for Realtime Multimedia,2019
Python Software Foundation,Python is a programming language used by software developers and scientists.,2019
QEMU,Open source machine emulator and virtualizer,2019
R project for statistical computing,R is a free software environment for statistical computing and graphics,2019
ReactOS,Open your windows to freedom!,2019
Read the Docs,Documentation Simplified,2019
Red Hen Lab,Research on Multimodal Communication,2019
RoboComp,An open-source framework to develop and manage robot components.,2019
Rocket.Chat,The ultimate open source team chat and collaboration platform,2019
RTEMS Project,RTEMS is a real-time operating system kernel used around the world and in space.,2019
Ruby,The Ruby programming language and other libraries,2019
Ruby Science Foundation,Tools for scientific computation in Ruby,2019
SageMath,open-source mathematics software system,2019
Salesforce,"From the kernel to the browser, open source projects from Salesforce.",2019
Samba,Samba is the standard Windows interoperability suite of programs for Linux/Unix.,2019
SCoRe Lab (Sustainable Computing Research Lab),"SCoRe has conducted research covering various aspects of Security, Mobile & IOT.",2019
ScummVM,ScummVM is a GSoC umbrella for game preservation projects,2019
shogun.ml,Unified and efficient Machine Learning,2019
Software and Computational Systems Lab at LMU Munich,"Software Analysis, Software Verification, and Benchmarking",2019
Software Heritage,The Great Library of Source Code,2019
SPDX (Software Product Data Exchange),Promoting open source compliance through standard communication of SW licenses.,2019
strace,linux syscall tracer,2019
Submitty,Programming assignment submission with automated grading and manual TA grading,2019
Sugar Labs,"Sugar is an activity-focused, open-source learning platform for children.",2019
Swift,Swift is a high-performance application and system programming language.,2019
SymbiFlow,A completely FOSS toolchain for FPGAs.,2019
SymPy,SymPy is a Python library for symbolic mathematics.,2019
Synfig,Open-source 2D animation software,2019
syslog-ng,Open source log management solution with over a million users worldwide.,2019
TensorFlow,An open-source machine learning framework for everyone.,2019
The Apache Software Foundation,Providing open source software to the public free of charge,2019
The Center for Connected Learning and Computer-Based Modeling,NetLogo: A language and IDE for programming and scientific simulations,2019
The Eclipse Foundation,The Platform for Open Innovation and Collaboration,2019
The GNU Project,GNU is an operating system that is free software and respects users' freedom,2019
The Honeynet Project,The Honeynet Project - R&D for Honeypot/Honeynet Technology and InfoSec Research,2019
The Java Pathfinder Team,An extensible software analysis framework for Java bytecode,2019
The Julia Language,A fresh approach to Technical Computing,2019
The Libreswan Project,Encrypting the Internet with IKE and IPsec.,2019
The Linux Foundation,A non-profit consortium dedicated to fostering the growth of Linux,2019
The Mifos Initiative,End Poverty One Line of Code at a Time,2019
The NetBSD Foundation,Of course it runs NetBSD,2019
The ns-3 Network Simulator Project,ns-3 is a packet-level network simulator for research and education.,2019
The Perl Foundation,Devoted to the advancement of the Perl languages through discussion and code,2019
The Postgres Operator,A project to create an open-sourced managed Postgresql service for Kubernetes,2019
The Processing Foundation,Our goal is to empower people of all backgrounds to learn how to program.,2019
The Terasology Foundation,Voxel world game/engine with a large focus on extensibility and developer tools,2019
The Vega Project at the University of Washington,"Declarative formats & Applications for Creating, Saving & Sharing Visualizations",2019
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris, macOS and Android.",2019
TimVideos.us,"Software & hardware for recording + streaming conferences, meetings, user groups",2019
Tokio,The asynchronous run-time for the Rust programming language.,2019
Tungsten Fabric,"Secure software defined networking for any cloud, anywhere.",2019
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,2019
VideoLAN,VideoLAN is a team of volunteers believing in FOSS to rock the multimedia world.,2019
webpack,webpack is THE build tool for modern web applications run on NodeJS,2019
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,2019
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",2019
Xapian Search Engine Library,"Fast, scalable and flexible search",2019
Xi Editor,A modern text editor with a backend written in Rust.,2019
XMPP Standards Foundation (XSF),Secure and federated communication with open standards,2019
xpra,"screen for X11, remote access for MS Windows and Mac OS",2019
XWiki,The Advanced Open Source Enterprise Wiki,2019
Zulip Open Source Project,"Powerful, modern, open source team chat, complete with apps for every platform.",2019
ZynAddSubFX,An open source musical software synthesizer with a wide range of possibilities,2019
