Organization,#Appearances
Oppia Foundation,5
Red Hen Lab,5
OpenStreetMap,5
Gentoo Foundation,5
ReactOS,5
SymPy,5
CCExtractor Development,5
Catrobat,5
LibreOffice,5
Wikimedia Foundation,5
LabLua,5
GNU Octave,5
Open Chemistry,5
The Linux Foundation,5
Django Software Foundation,5
Mozilla,5
National Resource for Network Biology (NRNB),5
The NetBSD Foundation,5
Fedora Project,5
Inkscape,5
GNU Radio,5
XWiki,5
ScummVM,5
OpenMRS,5
Drupal,5
MuseScore,5
Performance Co-Pilot,5
CloudCV,5
The Honeynet Project,5
Sugar Labs,5
Blender Foundation,5
JBoss Community,5
strace,5
FFmpeg,5
NumFOCUS,5
Xapian Search Engine Library,5
Free and Open Source Silicon Foundation,5
QEMU,5
RTEMS Project,5
The Wine Project,5
Git,5
BRL-CAD,5
Python Software Foundation,5
GNOME,5
RoboComp,4
Computational Biology @ University of Nebraska-Lincoln,4
The ns-3 Network Simulator Project,4
Public Lab,4
Global Alliance for Genomics and Health,4
Matrix.org,4
LibreHealth,4
Open Source Robotics Foundation,4
GNSS-SDR,4
OWASP Foundation,4
Chapel,4
OpenCV,4
Ruby,4
aimacode,4
Amahi,4
OpenWISP,4
The Julia Language,4
OSGeo,4
JdeRobot - Universidad Rey Juan Carlos,4
CERN-HSF,4
PostgreSQL,4
INCF,4
Internet Archive,4
Netfilter project,4
FreeBSD,4
Moodle,4
The Java Pathfinder Team,4
mlpack,4
"Genes, Genomes and Variation",4
Haiku,4
PEcAn Project,4
The Center for Connected Learning and Computer-Based Modeling,4
OpenAstronomy,4
Cloud Native Computing Foundation (CNCF),4
DBpedia,4
AerospaceResearch.net,4
Open Bioinformatics Foundation,4
Apertium,4
Rocket.Chat,4
Checker Framework,4
The Libreswan Project,4
Homebrew,4
VideoLAN,4
FOSSASIA,4
Ruby Science Foundation,4
R project for statistical computing,4
X.Org Foundation,4
The Processing Foundation,3
FreeType,3
MIT App Inventor,3
MariaDB Foundation,3
Samba,3
Submitty,3
Jenkins project,3
Open Genome Informatics,3
Purr Data,3
Boston University / XIA,3
phpMyAdmin,3
Intel Media And Audio For Linux,3
Beam Community,3
52°North Initiative for Geospatial Open Source Software GmbH,3
CiviCRM,3
P2PSP.org,3
MovingBlocks,3
The Eclipse Foundation,3
TEAMMATES @ National University of Singapore,3
The GNU Project,3
KDE Community,3
The Mifos Initiative,3
ArduPilot,3
Classical Language Toolkit,3
MetaBrainz Foundation Inc.,3
UCSC Xena,3
LuaRocks,3
libvirt,3
openSUSE,3
Swift,3
Kiwix,3
coala,3
Godot Engine,3
Zulip,3
Sage Mathematical Software System,3
lowRISC,3
webpack,3
appleseedhq,3
Open Data Kit,3
AOSSIE - Australian Open Source Software Innovation and Education,3
LLVM Compiler Infrastructure,3
"CLiPS, University of Antwerp",3
Neovim,3
BeagleBoard.org,3
Mixxx DJ Software,3
Inclusive Design Institute,3
Mobile Robot Programming Toolkit (MRPT),3
cBioPortal for Cancer Genomics,3
Scala,3
Metasploit,3
TimVideos.us,3
Apache Software Foundation,3
coreboot,3
Shogun Machine Learning Toolbox,2
Institute for Artificial Intelligence,2
Bazel,2
Liquid Galaxy Project,2
Boost C++,2
Checkstyle,2
Joomla!,2
Scilab,2
PMD,2
CHAOSS,2
AboutCode.org,2
Canadian Centre for Computational Genomics,2
Stony Brook University Biomedical Informatics,2
Haskell.org,2
Rspamd,2
Read the Docs,2
GENIVI Alliance,2
Nmap Security Scanner,2
Pharo Consortium,2
Discourse,2
MariaDB,2
The Terasology Foundation,2
SageMath,2
XMPP Standards Foundation,2
JSK Robotics Laboratory / The University of Tokyo,2
Libvirt,2
Sigmah,2
BeagleBoard.org Foundation,2
Digital Impact Alliance,2
Percona,2
CGAL Project,2
Ceph,2
Qubes OS,2
MBDyn,2
Cuneiform Digital Library Initiative (CDLI),2
GNU Project,2
ViSP,2
radare,2
Ruby on Rails,2
Android Graphics Tools Team,2
"Biomedical Informatics, Emory University",2
The Apache Software Foundation,2
CircuitVerse.org,2
ownCloud,2
Pitivi,2
Software and Computational Systems Lab at LMU Munich,2
Moira,2
vitrivr,2
Elastic,2
"Urban Energy Systems Laboratory, Empa",2
JSK Robotics Laboratory,2
Creative Commons,2
GPAC,2
Eclipse Foundation,2
BeeWare Project,2
Conversations.im,2
Portland State University,2
apertus° Association,2
Boost C++ Libraries,2
STE||AR Group,2
Debian Project,2
Plone Foundation,2
syslog-ng,2
freifunk,2
Hydra Ecosystem,2
Freifunk,2
Copyleft Games,2
SPDX,2
GNU Compiler Collection (GCC),2
Green Navigation,2
Joomla,2
Open States,2
TensorFlow,2
SymbiFlow,2
KDE,2
gRPC,2
Zulip Open Source Project,2
Open Roberta,2
Synfig,2
GNU Mailman,2
NV Access,2
Mifos Initiative,2
Physical Web Project,2
Developers Italia,2
Polly Labs,2
Debian,2
The MacPorts Project,2
MacPorts,2
Sustainable Computing Research Group ( SCoRe ),2
Kodi Foundation,2
Internet Systems Consortium,2
Linkerd,2
Libre Space Foundation,2
Kapitan,2
Apertus Association,2
phpBB Forum Software,2
Liquid Galaxy project,2
The LLVM Compiler Infrastructure,2
XBMC Foundation,2
FOSSology,2
Jitsi,2
Open Detection,2
InterMine,2
WSO2,2
FOSDEM,2
TARDIS-SN,2
Eclipse Vert.x,1
Systers Community,1
SPDX (Software Product Data Exchange),1
Pocket Science Lab,1
FrameNet Brasil (UFJF),1
The Vega Visualization Tools by the UW Interactive Data Lab,1
Soletta Project,1
Ceph Foundation,1
KNIME,1
illumos.org,1
Kubeflow,1
Software Heritage,1
Vert.x,1
Institut für Angewandte Informatik (InfAI) e.V.,1
wxWidgets,1
Unitex/GramLab,1
Haskell.Org,1
AboutCode,1
FOSDEM VZW,1
Seastar,1
Academy Software Foundation (ASWF),1
The FreeType Project,1
"Stony Brook University, Biomedical Informatics",1
Peragro,1
X.org Foundation,1
Cadasta,1
The Perl Foundation,1
Processing Foundation,1
appleseed,1
CiviCRM LLC,1
Mixxx,1
TimVideos,1
International Neuroinformatics Coordinating Facility,1
AOSSIE - The Australian National University's Open-Source Software Innovation and Education,1
Casbin,1
GitHub,1
Arduino,1
PLASMA-UMass,1
OpenEMR,1
MetaBrainz Foundation Inc,1
Global Alliance for Genomics & Health,1
languagetool.org,1
The CGAL Project,1
Stemformatics,1
Java Pathfinder Team,1
Tokio,1
Gambit - Software Tools for Game Theory,1
WorldBrain.io - Verifying the Internet,1
Earth Science Information Partners,1
Joplin,1
The syslog-ng project.,1
Xi Editor,1
Intel Media and Audio for Linux,1
dbpediaspotlight,1
Buildroot,1
GeomScale,1
Berkman Klein Center for Internet and Society at Harvard University,1
xpra,1
OpenSIPS,1
PRISM Model Checker,1
Streetmix,1
CHAOSS: Community Health Analytics Open Source Software,1
The Qt Project,1
OpnTec,1
Environmental Data And Governance Initiative,1
JGraphT,1
Wireshark,1
GDevelop,1
gprMax,1
D Programming Language,1
Erlang Ecosystem Foundation,1
SCoRe Lab (Sustainable Computing Research Lab),1
CRIU,1
LEAP Encryption Access Project,1
Point Cloud Library,1
The Apertium Project,1
Continuous Delivery Foundation,1
Jenkins Project,1
Microkernel devroom,1
OSGeo - The Open Source Geospatial Foundation,1
Open Astronomy,1
BioGears,1
Wayland,1
Zenodo,1
Open Roberta Lab,1
Canadian Centre for Computational Genomics (C3G) - Montreal node,1
Tor,1
Indic Project,1
FOSSology Project,1
Project PANOPTES,1
Inria Foundation,1
Sustainable Computing Research Group (SCoRe),1
GENIVI Development Platform,1
WorldBrain - Verifying the Internet with Science,1
McGill Space Institute,1
AnitaB.org Open Source,1
Open Technologies Alliance - GFOSS,1
Distributed and Unified Numerics Environment (DUNE),1
FreeBSD Project,1
Salesforce,1
KolibriOS,1
52° North GmbH,1
OpenMined,1
ModSecurity,1
MetaBrainz Foundation,1
The syslog-ng project,1
Plone,1
MGGG Redistricting Lab,1
The STE||AR Group,1
R Project for Statistical Computing,1
ASCEND,1
Open Food Facts,1
Tiled,1
52° North Initiative for Geospatial Open Source Software GmbH,1
MZmine,1
Tungsten Fabric,1
Open Technologies Aliance - GFOSS,1
ArchC,1
Dart,1
Ganeti,1
BioJS,1
Mono Project,1
Earth Science Information Partners (ESIP),1
mlpack: a scalable C++ machine learning library,1
Embox,1
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,1
caMicroscope,1
MBDyn - Multibody Dynamics,1
The Monarch Initiative,1
shogun.ml,1
OW2,1
mypy,1
The Vega Project at the University of Washington,1
K-9 Mail,1
"MBDyn, Department of Aerospace Science and Technology at Politecnico di Milano",1
openSUSE Project,1
GFOSS - Open Technologies Alliance,1
gnss-sdr,1
MoveIt,1
Shogun,1
Radare,1
Berkman Klein Center for Internet & Society at Harvard University,1
The Postgres Operator,1
GraphQL Foundation,1
Xen Project,1
xpra.org,1
OpenCensus,1
Open Bioinformatics Foundation (OBF),1
OpenHMD,1
D Foundation,1
Probot,1
Digital Impact Alliance (DIAL) at UN Foundation,1
Netty,1
Cuneiform Digital Library Initiative,1
Hazelcast,1
CERN SFT,1
OpenRefine,1
MDAnalysis,1
Health Information Systems Programme,1
Scilab Enterprises,1
JabRef,1
SCoRe Lab,1
OSU Open Source Lab,1
Software Product Data Exchange (SPDX),1
Python HYDRA,1
Computational Science and Engineering at TU Wien,1
ZynAddSubFX,1
Robocomp,1
Timelab Technologies Ltd.,1
Elm Software Foundation,1
oVirt,1
XMPP Standards Foundation (XSF),1
Accord Project,1
FRRouting,1
GNU Compiler Collection,1
Clojure,1
The Tor Project,1
Orange – Data Mining Fruitful & Fun,1
Celluloid,1
jQuery Foundation,1
CVXPY,1
CMU Sphinx,1
afl++,1
3DTK,1
"Systers, an Anita Borg Institute community",1
BuildmLearn,1
CGAL project,1
"Systers, an Anita Borg Institute Community",1
Babel,1
Eta,1
Space @ Virginia Tech,1
Ardupilot.org,1
TLA+,1
omegaUp.com,1
Orcasound,1
VideoLAN / VLMC Project,1
Berkman Klein Center for Internet and Society,1
OpenKeychain (OpenPGP for Android),1
CBMI@UTHSC,1
Ste||ar group,1
Open Ephys,1
Frescobaldi,1
Quill.org,1
MIT Media Lab,1
Matrix,1
Berkman Center for Internet and Society,1
AOSSIE,1
Postman,1
Named Data Networking Project,1
CRIU (Checkpoint/Restore in User-space),1
Canadian Center for Computational Genomics,1
Xi Editor Project,1
Center for Research in Open Source Software at UC Santa Cruz,1
API Client Tools at Google,1
Free UK Genealogy,1
FrameNet Brasil at the Federal University of Juiz de Fora,1
radare2,1
